price,address,beds,baths,parking,type,sold_date
"$1,100,000","67 Meehan Avenue, 
HAMMONDVILLE NSW 2170",3,1,1,House,26-Oct-24
"$2,115,000","74b Raglan Road, 
MIRANDA NSW 2228",4,3,1,Semi-detached,26-Oct-24
"$455,000","91 Liverpool Street, 
SCONE NSW 2337",4,2,3,House,26-Oct-24
"$740,000","55/99-111 Karimbla Road, 
MIRANDA NSW 2228",3,1,1,Apartment / Unit / Flat,25-Oct-24
"$1,185,000","72 Meehan Avenue, 
HAMMONDVILLE NSW 2170",3,2,6,House,24-Oct-24
"$1,600,000","401/40 Kiora Road, 
MIRANDA NSW 2228",3,2,2,Apartment / Unit / Flat,24-Oct-24
"$820,000","502/21-25 Urunga Parade, 
MIRANDA NSW 2228",2,2,2,Apartment / Unit / Flat,24-Oct-24
"$1,550,000","264 The Boulevarde, 
MIRANDA NSW 2228",3,1,3,House,23-Oct-24
"$1,400,000","84/8-12 Wandella Road, 
MIRANDA NSW 2228",2,2,2,Apartment / Unit / Flat,22-Oct-24
"$1,125,000","18/7-13 Taylor Close, 
MIRANDA NSW 2228",3,1,2,Townhouse,22-Oct-24
"$915,000","403/510 Kingsway, 
MIRANDA NSW 2228",2,2,2,Apartment / Unit / Flat,22-Oct-24
"$355,000","8/65 Satur Road, 
SCONE NSW 2337",2,1,1,Apartment / Unit / Flat,22-Oct-24
"$740,000","3/109 Stewart Avenue, 
HAMMONDVILLE NSW 2170",2,1,1,Townhouse,21-Oct-24
"$1,850,000","38A Huntingdale Avenue, 
MIRANDA NSW 2228",4,2,1,Duplex,21-Oct-24
"$1,230,000","1/170 The Boulevarde, 
MIRANDA NSW 2228",3,2,2,Townhouse,21-Oct-24
"$1,810,000","8 Greenwood Close, 
HAMMONDVILLE NSW 2170",5,2,3,House,19-Oct-24
"$2,158,000","8A Clifford Road, 
MIRANDA NSW 2228",4,3,2,Semi-detached,19-Oct-24
"$1,400,000","223 President Avenue, 
MIRANDA NSW 2228",3,1,1,House,18-Oct-24
"$836,000","10/22-26 Urunga Parade, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,18-Oct-24
"$1,830,000","7 Jean Avenue, 
MIRANDA NSW 2228",3,1,2,House,18-Oct-24
"$935,000","38 Hill Street, 
SCONE NSW 2337",4,3,2,House,18-Oct-24
"$670,000","30 Short Street, 
SCONE NSW 2337",4,2,2,House,18-Oct-24
"$730,000","21 Waverley Street, 
SCONE NSW 2337",4,2,2,House,17-Oct-24
"$2,040,000","2 Raglan Road, 
MIRANDA NSW 2228",3,2,1,House,15-Oct-24
"$2,092,000","266a Sylvania Road, 
MIRANDA NSW 2228",4,3,2,Semi-detached,15-Oct-24
"$2,056,000","6 Vista Heights Road, 
MIRANDA NSW 2228",3,2,3,House,12-Oct-24
"$1,550,000","11 Junction Street, 
MIRANDA NSW 2228",3,1,2,House,12-Oct-24
"$580,000","15 Alabama Street, 
SCONE NSW 2337",4,2,2,House,11-Oct-24
"$576,000","15 Philip Street, 
SCONE NSW 2337",3,1,2,House,11-Oct-24
"$1,055,000","4/49 Karimbla Road, 
MIRANDA NSW 2228",2,1,1,Townhouse,10-Oct-24
"$1,500,000","7A Macartney Street, 
MIRANDA NSW 2228",3,2,1,Duplex,9-Oct-24
"$1,000,000","506/5 Gurrier Avenue, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,9-Oct-24
"$700,000","208 Bakewell Circuit, 
SCONE NSW 2337",NA,NA,NA,Vacant land,9-Oct-24
"$1,750,000","2/144 Karimbla Road, 
MIRANDA NSW 2228",4,3,2,Townhouse,4-Oct-24
"$890,000","G02/61 Miranda Road, 
MIRANDA NSW 2228",2,2,2,Apartment / Unit / Flat,4-Oct-24
"$845,000","AA201/6 University Road, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,4-Oct-24
"$997,500","133 Allan Cunningham Road, 
SCONE NSW 2337",4,2,5,House,4-Oct-24
"$690,000","7 Alabama Street, 
SCONE NSW 2337",4,2,2,House,3-Oct-24
"$1,400,000","3/216 President Avenue, 
MIRANDA NSW 2228",3,2,2,Townhouse,2-Oct-24
"$2,065,000","9A Frederick Street, 
MIRANDA NSW 2228",4,3,2,House,1-Oct-24
"$1,300,000","1/20-24 Kumbardang Avenue, 
MIRANDA NSW 2228",3,2,2,Townhouse,1-Oct-24
"$1,575,000","15 Nyngan Place, 
MIRANDA NSW 2228",3,1,1,House,28-Sep-24
"$720,000","22/86-88 Karimbla Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,27-Sep-24
"$865,000","1/12-14 Kiora Road, 
MIRANDA NSW 2228",3,2,1,Apartment / Unit / Flat,27-Sep-24
"$640,000","1 Cook Street, 
SCONE NSW 2337",4,1,2,House,27-Sep-24
"$240,000","507 Cockatoo Close, 
SCONE NSW 2337",NA,NA,NA,Vacant land,26-Sep-24
"$1,500,000",MIRANDA NSW 2228,4,3,2,House,25-Sep-24
"$760,000","16/2-6 Gurrier Avenue, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,24-Sep-24
"$2,125,000","20 Violet Street, 
MIRANDA NSW 2228",4,2,2,House,23-Sep-24
"$1,855,000","22 Ventura Avenue, 
MIRANDA NSW 2228",4,2,1,House,21-Sep-24
"$1,822,500","8A Renown Avenue, 
MIRANDA NSW 2228",4,2,1,Semi-detached,20-Sep-24
"$2,155,000","52 Carramar Crescent, 
MIRANDA NSW 2228",4,2,2,House,20-Sep-24
"$2,100,000","""Trelawney"" Hunter Road Moonan Flat (Via), 
SCONE NSW 2337",NA,NA,NA,Specialist farm,20-Sep-24
"$1,130,000","2/57 Karimbla Road, 
MIRANDA NSW 2228",2,2,1,Villa,19-Sep-24
"$825,000","309/6 Urunga Parade, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,19-Sep-24
"$510,000","151 Susan Street, 
SCONE NSW 2337",3,1,2,House,19-Sep-24
"$1,220,000","51 Pritchard Avenue, 
HAMMONDVILLE NSW 2170",4,2,4,House,18-Sep-24
"$1,760,000","20 Huntingdale Avenue, 
MIRANDA NSW 2228",4,1,2,House,18-Sep-24
"$700,000","210 Bakewell Circuit, 
SCONE NSW 2337",NA,NA,NA,Vacant land,17-Sep-24
"$780,000","48/8-14 Willock Avenue, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,16-Sep-24
"$785,000","30/118-128 Karimbla Road, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,13-Sep-24
"$1,675,000","7a Manor Hill Road, 
MIRANDA NSW 2228",3,3,1,Semi-detached,13-Sep-24
"$1,625,000","15A Kareena Road, 
MIRANDA NSW 2228",4,2,2,Semi-detached,12-Sep-24
"$470,000","20 Scott Street, 
SCONE NSW 2337",4,1,1,House,12-Sep-24
"$850,000","55/2-4 Central Road, 
MIRANDA NSW 2228",2,2,2,Apartment / Unit / Flat,10-Sep-24
"$1,710,000","2/68 Kareena Road, 
MIRANDA NSW 2228",4,3,2,Townhouse,10-Sep-24
"$895,000","5 Oxford Road, 
SCONE NSW 2337",4,2,1,House,10-Sep-24
"$1,670,000","16 Shirley Road, 
MIRANDA NSW 2228",3,1,1,House,6-Sep-24
"$840,000","16 Redbank Drive, 
SCONE NSW 2337",5,2,2,House,6-Sep-24
"$1,758,000","21 Kumbardang Avenue, 
MIRANDA NSW 2228",2,1,3,House,5-Sep-24
"$630,000","211/1 Higherdale Avenue, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,5-Sep-24
"$900,000","BBG01/18 University Road, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,5-Sep-24
"$719,000","57/109 Stewart Avenue, 
HAMMONDVILLE NSW 2170",2,1,1,Villa,30-Aug-24
